index,ra[HH:MM:SS.SS],dec[DD:MM:SS.SS],exptime[s],iterations,rising_time,setting_time,asteroid_ids,obs_flag
1,21:47:06.08,-10:31:55.78,60,3,2026-06-11 09:50:43.920,2026-06-11 15:02:41.978,"[np.int64(558), np.int64(389), np.int64(38), np.int64(653)]",1
2,23:28:42.08,+05:04:04.22,60,3,2026-06-11 10:24:54.436,2026-06-11 17:51:02.396,"[np.int64(170), np.int64(1353), np.int64(552)]",1
3,22:52:42.08,-10:07:55.78,60,3,2026-06-11 10:53:47.138,2026-06-11 16:10:26.259,"[np.int64(303), np.int64(78), np.int64(367)]",1
